序號,股票代號,CB代號,名稱,信用評等,擔保,發行規模,轉換價格,發行年期,詢圈競拍,發行券商,產業分類,產業地位,股本大小,發行價格,到期還本價格,訂價溢價率,掛牌日期,到期日期,掛牌最高,掛牌最低
642,3034,30342,聯詠二,0,,3.0,93.7,5.0,詢圈,,半導體業,全球面板驅動IC設計龍頭廠,,,,,2006-05-28,2011/05/28,122.0,96.9
643,3036,30362,文曄二,0,,,,,詢圈,,電子通路業,台灣前三大半導體IC通路商,,,,,,,125.0,98.0
644,3036,30363,文曄三,0,,,,,詢圈,,電子通路業,台灣前三大半導體IC通路商,,,,,,,130.05,93.0
645,3036,30364,文曄四,0,,,,,詢圈,,電子通路業,台灣前三大半導體IC通路商,,,,,,,158.0,99.0
646,3036,30365,文曄五,4,無擔保,1.5,40.5,3.0,詢圈,福邦證券,電子通路業,台灣前三大半導體IC通路商,116.0,100.0,100.0,1.01,2016-07-07,2019/07/07,154.0,105.2
647,3036,30366,文曄六,4,無擔保,2.5,40.0,3.0,詢圈,福邦證券,電子通路業,台灣前三大半導體IC通路商,116.0,100.0,100.0,1.02,2019-07-01,2022/07/01,330.0,104.0
648,3038,30381,全台一,0,,,,,詢圈,,光電業,台灣中小尺寸面板模組廠,,,,,,,233.0,122.1
649,3038,30382,全台二,0,,,,,詢圈,,光電業,台灣中小尺寸面板模組廠,,,,,,,225.0,144.2
650,3038,30383,全台三,0,,,,,詢圈,,光電業,台灣中小尺寸面板模組廠,,,,,,,141.5,89.9
651,3038,30384,全台四,0,,3.0,,3.0,詢圈,,光電業,台灣中小尺寸面板模組廠,,,,,2010-10-12,2013/10/12,120.0,99.8
652,3039,30391,宏傳一,0,,,,,詢圈,,,,,,,,,,102.4,102.4
653,3039,30392,宏傳二,0,,,,,詢圈,,,,,,,,,,107.0,88.55
654,3041,30411,揚智一,0,,,,,詢圈,,半導體業,專注於數位機上盒系統單晶片開發的領導廠商,,,,,,,293.0,100.5
