序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
181,2024-02-26,6150,61506,撼訊六,4.8,4.0,3,無擔保,8,3400,100.0,2024-02-22,91.6,90.2,1.02,101.55,104.0,0.0241,105.95,0.0433,宏遠證券,電腦及週邊設備業,321,9991,2.94,31.12,2024-02-20,340.0,2024-03-07,362909500.0,0.5,111.88,106.74
182,2024-02-26,3272,32723,東碩三,6.1,3.0,5,無擔保,6,2550,100.0,2024-02-22,34.05,34.2,1.02,99.56,104.0,0.0446,105.95,0.0642,凱基證券,電腦及週邊設備業,363,11968,4.69,32.97,2024-02-20,255.0,2024-03-07,277763680.0,0.5,114.5,108.93
183,2024-02-29,8092,80924,建暐四,5.2,1.7,3,有擔保,9,1530,100.0,2024-02-26,21.0,14.5,1.021,144.83,137.0,-0.054,139.45,-0.0371,國票證券,其他電子業,297,8859,5.79,29.83,2024-02-22,153.0,2024-03-11,213351730.0,0.5,150.0,139.45
184,2024-05-13,3483,34834,力致四,8.6,2.0,3,無擔保,6,1700,101.0,2024-05-09,162.0,168.0,1.049,96.43,117.11,0.2145,118.57,0.2296,永豐金證,電腦及週邊設備業,847,18767,11.04,22.16,2024-05-07,170.0,2024-05-22,201571750.0,0.5,175.0,118.57
185,2024-05-15,8433,84332,弘帆二,5.4,1.0,3,無擔保,6,850,100.0,2024-05-13,98.4,102.0,1.02,96.47,112.69,0.1681,114.11,0.1828,玉山證券,居家生活,217,4649,5.47,21.42,2024-05-09,85.0,2024-05-24,96995240.0,0.5,118.7,114.11
186,2024-05-16,6840,68401,東研信超,2.5,2.0,3,無擔保,6,1765,100.0,2024-05-14,72.0,73.4,1.021,98.09,102.0,0.0398,105.36,0.0741,康和證券,其他電子業,73,2501,1.42,34.26,2024-05-10,176.0,2024-05-27,185965080.0,0.5,115.5,105.36
187,2024-05-16,6117,61171,迎廣,8.9,5.0,3,無擔保,8,4250,100.0,2024-05-14,88.3,84.0,1.021,105.12,108.2,0.0293,111.35,0.0593,台新證券,電腦及週邊設備業,378,11705,2.75,30.97,2024-05-10,425.0,2024-05-27,473245760.0,0.5,119.33,111.35
188,2024-05-21,8467,84672,波力KY二,5.1,2.0,3,有擔保,6,1785,100.0,2024-05-17,175.0,193.6,1.1,90.39,112.3,0.2424,114.7,0.2689,富邦證券,運動休閒,316,7982,4.47,25.26,2024-05-15,178.0,2024-05-30,204740980.0,0.5,122.1,114.7
189,2024-05-22,6515,65151,穎崴一,3.5,10.0,3,無擔保,5,8500,103.0,2024-05-20,862.0,886.0,1.02,97.29,115.06,0.1826,116.37,0.1961,凱基證券,半導體業,1093,42297,4.98,38.7,2024-05-16,850.0,2024-05-31,989124920.0,0.5,150.0,116.37
190,2024-06-07,3583,35832,辛耘二,8.0,10.0,3,無擔保,5,8500,100.0,2024-06-05,327.0,347.5,1.02,94.1,116.2,0.2348,117.07,0.2441,富邦證券,半導體業,1271,52260,6.15,41.12,2024-06-03,850.0,2024-06-19,995128300.0,0.7,123.0,117.07
191,2024-06-12,6125,61255,廣運五,24.9,6.0,3,無擔保,6,5100,102.0,2024-06-07,115.5,114.0,1.022,101.32,116.8,0.1528,118.47,0.1693,元大證券,光電業,1110,37410,7.34,33.7,2024-06-05,510.0,2024-06-21,604203250.0,0.7,130.2,118.47
192,2024-06-13,1560,15601,中砂一,14.5,10.0,5,無擔保,4,8500,101.0,2024-06-11,281.0,292.1,1.02,96.2,117.59,0.2224,118.38,0.2306,凱基證券,電機機械,1203,47963,5.64,39.87,2024-06-06,850.0,2024-06-24,1006198670.0,0.5,250.0,118.38
